iter	Passed	Remaining
0	28	8662
1	51	7684
2	85	8416
3	121	9015
4	142	8431
5	191	9394
6	231	9702
7	264	9638
8	298	9641
9	342	9943
10	364	9565
11	390	9363
12	417	9219
13	438	8964
14	491	9341
15	515	9146
16	540	8991
17	569	8921
18	598	8857
19	620	8692
20	650	8643
21	682	8621
22	702	8459
23	729	8384
24	765	8419
25	812	8557
26	837	8469
27	861	8373
28	883	8259
29	907	8170
30	943	8183
31	966	8095
32	989	8008
33	1011	7916
34	1036	7848
35	1059	7766
36	1088	7736
37	1118	7710
38	1150	7696
39	1184	7701
40	1213	7664
41	1235	7590
42	1265	7561
43	1288	7494
44	1309	7417
45	1336	7378
46	1361	7327
47	1383	7261
48	1404	7194
49	1443	7218
50	1472	7187
51	1498	7144
52	1534	7149
53	1556	7089
54	1582	7049
55	1614	7036
56	1658	7071
57	1716	7162
58	1737	7096
59	1763	7054
60	1792	7022
61	1817	6976
62	1838	6915
63	1879	6930
64	1910	6905
65	1937	6870
66	1959	6813
67	1998	6817
68	2020	6763
69	2043	6715
70	2066	6666
71	2089	6617
72	2114	6574
73	2135	6523
74	2157	6471
75	2182	6431
76	2204	6384
77	2226	6337
78	2249	6292
79	2274	6254
80	2299	6216
81	2326	6184
82	2357	6162
83	2378	6115
84	2403	6080
85	2426	6038
86	2458	6018
87	2474	5962
88	2499	5925
89	2520	5881
90	2544	5842
91	2577	5827
92	2598	5783
93	2618	5739
94	2635	5687
95	2656	5645
96	2677	5604
97	2699	5564
98	2721	5524
99	2742	5484
100	2765	5449
101	2790	5417
102	2817	5387
103	2838	5349
104	2860	5311
105	2884	5279
106	2908	5246
107	2935	5218
108	2955	5179
109	2979	5146
110	3001	5111
111	3024	5077
112	3047	5043
113	3071	5011
114	3090	4972
115	3116	4943
116	3137	4907
117	3164	4880
118	3182	4839
119	3204	4807
120	3225	4771
121	3246	4736
122	3268	4703
123	3295	4676
124	3322	4650
125	3348	4623
126	3372	4593
127	3395	4562
128	3420	4534
129	3445	4505
130	3466	4472
131	3491	4443
132	3511	4409
133	3534	4377
134	3554	4344
135	3576	4313
136	3598	4281
137	3618	4247
138	3671	4252
139	3692	4219
140	3718	4193
141	3740	4162
142	3768	4137
143	3790	4106
144	3810	4073
145	3832	4042
146	3853	4010
147	3873	3978
148	3895	3947
149	3914	3914
150	3935	3882
151	3957	3853
152	3979	3823
153	4004	3796
154	4024	3764
155	4047	3736
156	4072	3709
157	4096	3681
158	4116	3650
159	4144	3626
160	4166	3597
161	4190	3569
162	4214	3541
163	4237	3513
164	4254	3481
165	4284	3458
166	4306	3429
167	4324	3397
168	4350	3371
169	4371	3342
170	4391	3312
171	4416	3286
172	4438	3258
173	4462	3231
174	4488	3205
175	4508	3176
176	4536	3152
177	4562	3127
178	4585	3099
179	4612	3075
180	4635	3047
181	4660	3021
182	4686	2996
183	4712	2970
184	4734	2943
185	4758	2916
186	4778	2887
187	4800	2859
188	4828	2835
189	4852	2809
190	4879	2784
191	4901	2757
192	4923	2729
193	4949	2704
194	4975	2679
195	4997	2651
196	5015	2622
197	5039	2595
198	5058	2567
199	5082	2541
200	5111	2517
201	5131	2489
202	5157	2464
203	5179	2437
204	5200	2410
205	5226	2384
206	5248	2357
207	5270	2331
208	5292	2304
209	5314	2277
210	5337	2251
211	5357	2223
212	5379	2197
213	5405	2172
214	5433	2147
215	5460	2123
216	5481	2096
217	5502	2069
218	5526	2044
219	5552	2019
220	5573	1992
221	5605	1969
222	5632	1944
223	5656	1919
224	5683	1894
225	5708	1869
226	5741	1846
227	5763	1820
228	5792	1796
229	5813	1769
230	5845	1746
231	5868	1720
232	5891	1694
233	5912	1667
234	5938	1642
235	5964	1617
236	5987	1591
237	6016	1567
238	6041	1542
239	6070	1517
240	6099	1493
241	6119	1466
242	6146	1441
243	6175	1417
244	6197	1391
245	6216	1364
246	6248	1340
247	6270	1314
248	6291	1288
249	6318	1263
250	6346	1238
251	6371	1213
252	6395	1188
253	6438	1166
254	6469	1141
255	6512	1119
256	6531	1092
257	6566	1069
258	6602	1045
259	6628	1019
260	6655	994
261	6677	968
262	6699	942
263	6727	917
264	6752	891
265	6772	865
266	6794	839
267	6815	813
268	6837	787
269	6859	762
270	6880	736
271	6901	710
272	6927	685
273	6949	659
274	6968	633
275	6991	607
276	7012	582
277	7033	556
278	7059	531
279	7081	505
280	7105	480
281	7128	455
282	7158	430
283	7180	404
284	7203	379
285	7227	353
286	7246	328
287	7267	302
288	7293	277
289	7314	252
290	7337	226
291	7364	201
292	7385	176
293	7405	151
294	7431	125
295	7458	100
296	7488	75
297	7514	50
298	7554	25
299	7582	0
292	8119	193
293	8140	166
294	8165	138
295	8190	110
296	8210	82
297	8236	55
298	8261	27
299	8286	0
	17858	1139
282	17885	1074
283	17905	1008
284	17930	943
285	17952	878
286	17979	8293287	18021	7294	15584	264
295	15689	212
296	15769	159
297	15793	105
298	15818	52
299	15868	0
8	372
294	18292	310
295	18320	247
296	18346	185
297	18401	123
298	18456	61
299	18512	0
190
297	18881	126
298	18904	63
299	18925	0
